Australian Bureau of Statistics,,
,,
"2016 Census - Counting Employed Persons, Place of Work (POW)",,
SA2 (POW),,
Counting: Persons Aged 15 Years and Over Place of Work,,
,,
Filters:,,
Default Summation,Persons Aged 15 Years and Over Place of Work,
,,
Counting,SA2 (POW),Count
Persons Aged 15 Years and Over Place of Work,Sydney Airport,15441
Persons Aged 15 Years and Over Place of Work,Marrickville,13195
Persons Aged 15 Years and Over Place of Work,Petersham - Stanmore,5023
Persons Aged 15 Years and Over Place of Work,Sydenham - Tempe - St Peters,5835
Persons Aged 15 Years and Over Place of Work,Darlinghurst,12058
Persons Aged 15 Years and Over Place of Work,Erskineville - Alexandria,23631
Persons Aged 15 Years and Over Place of Work,Glebe - Forest Lodge,7213
Persons Aged 15 Years and Over Place of Work,Newtown - Camperdown - Darlington,20605
Persons Aged 15 Years and Over Place of Work,Potts Point - Woolloomooloo,14949
Persons Aged 15 Years and Over Place of Work,Pyrmont - Ultimo,36831
Persons Aged 15 Years and Over Place of Work,Redfern - Chippendale,14577
Persons Aged 15 Years and Over Place of Work,Surry Hills,29818
Persons Aged 15 Years and Over Place of Work,Sydney - Haymarket - The Rocks,320829
Persons Aged 15 Years and Over Place of Work,Waterloo - Beaconsfield,14447
Persons Aged 15 Years and Over Place of Work,Bondi - Tamarama - Bronte,3258
Persons Aged 15 Years and Over Place of Work,Bondi Beach - North Bondi,4308
Persons Aged 15 Years and Over Place of Work,Bondi Junction - Waverly,15309
Persons Aged 15 Years and Over Place of Work,Centennial Park,107
Persons Aged 15 Years and Over Place of Work,Double Bay - Bellevue Hill,9424
Persons Aged 15 Years and Over Place of Work,Dover Heights,1465
Persons Aged 15 Years and Over Place of Work,Paddington - Moore Park,9445
Persons Aged 15 Years and Over Place of Work,Rose Bay - Vaucluse - Watsons Bay,4243
Persons Aged 15 Years and Over Place of Work,Woollahra,2812
Persons Aged 15 Years and Over Place of Work,Coogee - Clovelly,3793
Persons Aged 15 Years and Over Place of Work,Malabar - La Perouse - Chifley,5051
Persons Aged 15 Years and Over Place of Work,Kensington (NSW),9264
Persons Aged 15 Years and Over Place of Work,Kingsford,2116
Persons Aged 15 Years and Over Place of Work,Maroubra - North,1925
Persons Aged 15 Years and Over Place of Work,Maroubra - South,1266
Persons Aged 15 Years and Over Place of Work,Maroubra - West,2024
Persons Aged 15 Years and Over Place of Work,Randwick - North,3964
Persons Aged 15 Years and Over Place of Work,Randwick - South,12092
Persons Aged 15 Years and Over Place of Work,Bass Hill - Georges Hall,3028
Persons Aged 15 Years and Over Place of Work,Chullora,7852
Persons Aged 15 Years and Over Place of Work,Condell Park,13035
Persons Aged 15 Years and Over Place of Work,Greenacre - Mount Lewis,6244
Persons Aged 15 Years and Over Place of Work,Padstow,3573
Persons Aged 15 Years and Over Place of Work,Panania - Milperra - Picnic Point,3375
Persons Aged 15 Years and Over Place of Work,Revesby,3239
Persons Aged 15 Years and Over Place of Work,Yagoona - Birrong,2184
Persons Aged 15 Years and Over Place of Work,Bankstown - North,7334
Persons Aged 15 Years and Over Place of Work,Bankstown - South,9805
Persons Aged 15 Years and Over Place of Work,Belmore - Belfield,3684
Persons Aged 15 Years and Over Place of Work,Canterbury (South) - Campsie,7132
Persons Aged 15 Years and Over Place of Work,Kingsgrove (North) - Earlwood,6800
Persons Aged 15 Years and Over Place of Work,Punchbowl,4348
Persons Aged 15 Years and Over Place of Work,Roselands,2941
Persons Aged 15 Years and Over Place of Work,Lakemba,2842
Persons Aged 15 Years and Over Place of Work,Wiley Park,728
Persons Aged 15 Years and Over Place of Work,Hurstville,9504
Persons Aged 15 Years and Over Place of Work,Mortdale - Penshurst,3132
Persons Aged 15 Years and Over Place of Work,Narwee - Beverly Hills,1754
Persons Aged 15 Years and Over Place of Work,Oatley - Hurstville Grove,1954
Persons Aged 15 Years and Over Place of Work,Peakhurst - Lugarno,5464
