INDP - 2 Digit Level,"Agriculture, Forestry and Fishing, nfd",Agriculture,Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing Support Services","Mining, nfd",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Non-Metallic Mineral Mining and Quarrying,Exploration and Other Mining Support Services,"Manufacturing, nfd",Food Product Manufacturing,Beverage and Tobacco Product Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Wood Product Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Printing (including the Reproduction of Recorded Media),Petroleum and Coal Product Manufacturing,Basic Chemical and Chemical Product Manufacturing,Polymer Product and Rubber Product Manufacturing,Non-Metallic Mineral Product Manufacturing,Primary Metal and Metal Product Manufacturing,Fabricated Metal Product Manufacturing,Transport Equipment Manufacturing,Machinery and Equipment Manufacturing,Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services, nfd",Electricity Supply,Gas Supply,"Water Supply, Sewerage and Drainage Services","Waste Collection, Treatment and Disposal Services","Construction, nfd",Building Construction,Heavy and Civil Engineering Construction,Construction Services,"Wholesale Trade, nfd",Basic Material Wholesaling,Machinery and Equipment Wholesaling,Motor Vehicle and Motor Vehicle Parts Wholesaling,"Grocery, Liquor and Tobacco Product Wholesaling",Other Goods Wholesaling,Commission-Based Wholesaling,"Retail Trade, nfd",Motor Vehicle and Motor Vehicle Parts Retailing,Fuel Retailing,Food Retailing,Other Store-Based Retailing,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,"Accommodation and Food Services, nfd",Accommodation,Food and Beverage Services,"Transport, Postal and Warehousing, nfd",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Postal and Courier Pick-up and Delivery Services,Transport Support Services,Warehousing and Storage Services,"Information Media and Telecommunications, nfd",Publishing (except Internet and Music Publishing),Motion Picture and Sound Recording Activities,Broadcasting (except Internet),Internet Publishing and Broadcasting,Telecommunications Services,"Internet Service Providers, Web Search Portals and Data Processing Services",Library and Other Information Services,"Financial and Insurance Services, nfd",Finance,Insurance and Superannuation Funds,Auxiliary Finance and Insurance Services,"Rental, Hiring and Real Estate Services, nfd",Rental and Hiring Services (except Real Estate),Property Operators and Real Estate Services,"Professional, Scientific and Technical Services, nfd","Professional, Scientific and Technical Services (except Computer System Design and Related Services)",Computer System Design and Related Services,"Administrative and Support Services, nfd",Administrative Services,"Building Cleaning, Pest Control and Other Support Services","Public Administration and Safety, nfd",Public Administration,Defence,"Public Order, Safety and Regulatory Services","Education and Training, nfd",Preschool and School Education,Tertiary Education,"Adult, Community and Other Education","Health Care and Social Assistance, nfd",Hospitals,Medical and Other Health Care Services,Residential Care Services,Social Assistance Services,"Arts and Recreation Services, nfd",Heritage Activities,Creative and Performing Arts Activities,Sports and Recreation Activities,Gambling Activities,"Other Services, nfd",Repair and Maintenance,Personal and Other Services,Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use,Inadequately described,Not stated,Not applicable,Total
SA2 (POW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Waverley - East,0,3,0,0,0,0,0,0,0,0,0,0,9,19,0,0,0,0,13,0,5,5,0,0,0,0,216,0,0,5,0,0,0,4,80,7,110,7,8,31,5,10,82,0,14,33,11,41,114,13,0,9,112,24,85,5,0,0,0,11,25,4,0,8,5,0,0,3,9,0,4,20,60,35,0,4,79,9,213,71,0,18,47,0,30,0,709,9,569,39,112,11,16,432,159,156,0,8,9,12,0,0,31,93,0,137,55,0,4298
Glen Waverley - West,0,7,0,0,0,0,0,0,0,0,0,14,11,37,0,9,0,0,468,0,4,6,0,0,0,0,6,8,0,11,0,0,0,6,116,8,163,12,17,77,6,17,22,0,38,30,25,357,758,4,0,150,1057,7,25,26,0,0,4,25,6,10,0,0,47,0,0,26,8,15,7,191,69,115,0,0,305,5,395,150,0,163,109,0,632,0,39,20,941,212,185,26,243,310,160,350,5,0,13,91,4,0,120,247,0,196,125,0,9069
Mount Waverley - North,0,6,0,0,0,0,0,0,0,0,0,0,6,9,0,3,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,72,4,74,5,21,6,0,0,12,0,7,4,0,19,67,0,0,0,115,0,11,0,0,0,0,8,3,0,0,3,0,0,0,3,7,11,4,8,7,39,4,0,53,0,276,62,0,20,50,0,23,0,0,8,515,8,88,9,6,103,0,116,0,0,9,30,0,0,23,69,0,97,27,0,2173
Mount Waverley - South,0,35,0,4,0,14,0,0,0,3,0,0,55,411,8,37,0,62,327,0,106,6,32,48,9,11,229,84,20,186,77,4,5,50,1063,17,608,76,91,391,37,423,188,6,30,20,113,532,493,6,0,31,493,26,93,4,6,7,24,273,134,51,11,22,19,14,0,43,15,0,3,252,24,164,0,60,280,6,1128,518,0,300,111,0,48,14,71,16,400,31,132,21,203,774,155,281,0,0,19,81,8,0,153,142,0,530,160,0,13281
Mulgrave,0,28,0,0,0,3,4,0,0,0,0,0,164,596,0,61,19,149,281,0,1045,114,67,30,52,84,381,66,11,79,27,3,35,49,750,43,791,66,153,721,492,243,498,14,112,725,13,1115,1570,103,3,21,426,30,224,3,6,10,0,166,57,345,5,65,6,5,0,276,46,0,37,326,468,152,0,69,89,21,852,411,4,974,286,0,45,8,349,16,541,383,40,28,468,631,225,162,3,0,14,180,11,0,350,335,0,998,270,0,21213
Oakleigh - Huntingdale,3,10,0,0,0,0,0,0,0,0,3,0,106,174,11,44,28,23,72,0,10,59,16,26,339,67,43,99,0,10,0,3,25,43,244,16,528,53,47,230,37,62,160,3,59,235,50,594,552,10,0,16,580,65,623,15,0,8,3,80,104,86,4,154,9,3,3,28,13,9,7,126,24,65,0,48,187,3,754,158,0,156,174,0,131,29,262,43,424,34,126,18,7,232,290,433,7,0,23,156,23,4,349,242,0,582,153,0,11209
Wheelers Hill,0,3,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,7,0,0,0,0,0,0,4,11,3,0,4,0,0,0,3,70,5,127,10,10,21,0,16,29,0,18,3,13,279,236,3,0,11,298,11,28,0,0,3,0,18,6,3,6,3,3,5,0,16,8,7,6,53,13,112,4,0,92,4,273,128,0,81,59,0,32,0,18,6,707,10,54,11,0,222,282,111,0,13,19,31,0,0,34,109,0,118,49,0,4008
Ardeer - Albion,0,24,0,0,0,0,0,0,0,0,0,0,33,13,0,3,0,0,0,0,0,3,14,89,75,0,4,3,3,161,0,0,7,6,34,9,110,0,22,14,6,0,11,0,3,6,8,13,26,0,0,19,10,4,113,0,0,0,0,7,23,3,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,18,8,0,10,16,0,4,0,0,5,112,3,9,3,5,32,89,49,0,0,7,16,0,0,47,15,0,61,41,0,1440
Cairnlea,0,4,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,54,0,0,0,0,9,0,0,0,0,0,67,18,0,0,0,27,5,32,0,0,4,0,6,5,3,0,0,0,0,0,0,0,0,3,5,0,4,0,3,9,0,37,6,0,17,9,0,11,0,0,0,113,0,6,0,5,56,3,75,0,0,5,11,3,0,7,18,0,30,18,0,716
Deer Park - Derrimut,4,49,0,6,0,13,5,0,0,3,11,0,187,302,116,97,51,123,117,4,146,227,61,62,105,193,69,173,0,13,8,0,71,70,346,119,563,64,306,216,276,373,131,9,42,232,21,695,662,21,3,0,529,163,987,12,16,97,7,246,226,675,3,29,4,0,0,39,8,8,0,74,5,15,0,63,90,0,215,87,0,244,199,0,63,0,79,19,337,58,82,6,15,163,16,343,0,0,7,47,10,3,251,77,0,715,213,0,12934
Delahey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,42,0,0,0,0,0,0,0,6,4,0,53,25,0,0,0,94,0,25,0,0,0,0,10,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,27,11,0,3,12,0,9,0,3,0,181,0,12,0,0,16,78,35,0,0,0,0,0,0,8,17,0,19,10,0,740
Keilor Downs,0,0,0,0,0,0,0,0,0,0,3,0,7,27,0,10,0,0,0,0,0,0,6,0,0,0,0,6,0,3,0,0,0,6,24,5,103,0,0,0,4,10,0,0,8,3,5,178,216,0,0,3,168,5,33,0,0,0,0,9,5,0,0,6,0,0,0,0,0,0,0,12,0,12,0,11,12,0,32,9,0,19,22,0,36,0,93,6,368,3,39,0,4,84,72,59,0,0,5,24,3,0,24,48,0,49,45,0,1935
Kings Park (Vic.),0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,4,11,3,49,0,0,0,0,0,0,0,0,0,8,11,18,0,0,0,24,0,23,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,8,0,6,14,0,12,0,0,5,254,0,14,0,17,23,3,48,0,0,0,10,0,0,5,20,0,21,19,0,710
St Albans - North,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,23,0,0,0,0,0,4,0,3,0,0,9,3,0,0,0,0,0,9,37,0,96,0,3,0,0,3,3,0,9,4,4,136,79,0,0,0,140,6,45,0,0,0,0,57,11,9,0,0,0,0,0,7,0,0,5,41,3,10,0,0,72,0,161,3,0,65,45,0,41,0,24,11,359,29,88,9,3,183,15,248,0,0,0,4,0,0,55,94,0,99,52,0,2466
St Albans - South,0,0,0,0,0,6,0,0,0,0,0,0,3,8,0,21,0,0,7,0,0,57,0,3,0,0,0,0,0,0,0,0,0,8,25,36,91,0,0,0,0,0,3,0,7,0,6,94,63,0,0,3,162,6,81,0,0,0,0,11,7,0,0,0,0,0,0,8,0,0,4,13,0,9,0,6,10,0,68,8,0,51,32,0,64,0,14,7,467,305,46,30,2537,268,118,199,0,0,3,11,15,0,21,35,0,99,91,0,5249
Sunshine,0,5,0,0,0,0,0,0,0,0,3,0,61,54,0,56,8,19,185,0,12,24,23,31,37,167,43,35,0,0,0,4,20,19,70,34,181,5,22,13,25,32,21,0,26,30,13,360,502,0,7,6,510,25,117,16,0,0,0,47,189,42,0,4,63,0,0,3,7,12,0,91,5,7,4,9,111,0,276,36,0,122,65,0,973,13,311,16,249,31,83,19,120,355,268,477,0,0,7,51,5,0,135,115,0,296,159,0,7581
Sunshine North,0,0,0,0,0,0,0,0,0,0,7,0,78,51,4,104,42,6,0,87,64,237,63,102,92,92,21,77,0,0,7,3,27,25,99,12,259,17,74,20,24,20,38,64,16,68,10,48,233,0,0,4,175,12,94,3,4,3,0,15,20,38,5,4,3,3,0,0,0,0,0,0,0,0,0,12,0,0,91,3,0,25,91,0,14,0,80,4,243,133,35,5,6,65,153,46,4,0,5,24,0,0,309,68,0,284,83,0,4352
Sunshine West,3,42,0,0,0,4,14,0,0,3,10,4,201,1057,0,61,46,0,79,16,81,71,82,58,140,94,155,135,0,25,12,7,215,53,301,74,602,47,137,266,172,126,109,3,37,62,6,171,146,17,0,6,172,106,532,19,8,9,6,868,95,200,0,10,0,0,0,28,8,6,3,11,4,4,0,54,20,0,265,37,0,101,170,0,29,4,152,20,517,19,32,5,4,31,92,123,0,3,9,5,0,0,280,66,0,743,189,0,10050
Sydenham,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,67,0,0,0,0,0,0,0,0,0,8,31,46,3,0,0,178,5,35,4,0,0,0,9,9,0,0,0,3,0,0,0,0,0,0,0,0,4,0,4,23,0,46,3,0,8,23,0,12,0,5,5,345,0,24,3,10,151,284,187,0,0,0,19,0,0,4,42,0,36,34,0,1702
Taylors Lakes,0,0,0,0,0,0,0,0,0,0,0,0,4,34,0,8,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,55,4,122,0,30,0,9,8,30,0,35,15,37,473,1074,0,0,34,769,0,42,12,0,5,0,28,10,5,0,0,37,0,0,24,0,0,0,74,11,20,3,3,127,4,88,17,0,89,98,0,106,0,27,10,411,12,59,4,4,104,9,91,0,0,7,85,7,0,47,115,0,113,80,0,4766
Altona,0,6,0,0,0,8,0,0,6,0,0,0,60,249,0,7,14,5,5,21,499,74,61,29,40,37,19,3,0,0,5,33,17,42,503,101,357,9,84,66,38,96,12,0,24,75,3,134,202,0,0,6,270,70,527,75,0,9,3,47,160,226,0,5,11,0,0,3,4,9,0,36,13,38,5,16,87,0,171,30,0,170,93,0,512,0,36,13,300,22,40,9,7,146,99,155,3,6,29,49,3,0,105,81,3,320,97,0,7053
Altona Meadows,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,5,0,0,6,0,0,0,0,0,3,0,3,4,0,0,0,0,4,4,28,4,96,0,0,5,0,0,3,0,3,3,14,172,138,0,0,4,255,5,48,0,0,5,0,9,4,6,0,4,0,0,0,4,0,0,0,3,0,0,0,0,19,0,45,11,0,14,43,0,29,0,3,4,179,0,40,4,3,103,132,128,0,0,0,18,3,0,21,47,0,52,20,0,1796
Altona North,0,8,0,0,0,8,3,0,13,0,3,0,109,430,0,36,0,28,3,295,3,86,33,55,74,2423,80,26,0,11,0,86,95,35,211,187,420,66,79,95,193,104,181,194,66,140,26,296,867,3,3,18,359,129,1282,15,22,6,3,67,428,578,0,8,0,0,0,10,0,0,0,132,18,11,0,189,20,0,263,21,0,142,99,0,48,5,155,15,277,34,54,5,5,149,269,220,4,5,11,108,10,0,249,182,5,578,221,0,13539
Newport,3,3,0,0,0,7,0,0,12,0,0,0,45,30,12,25,5,0,4,63,3,35,221,26,6,186,6,4,0,31,0,0,3,14,114,119,222,9,79,16,3,0,16,0,7,5,49,53,72,5,3,8,188,9,66,139,0,0,0,6,6,9,0,3,33,50,0,32,3,0,5,8,15,21,0,6,30,4,169,43,4,65,43,0,35,0,64,4,255,20,42,9,5,166,79,141,0,82,39,35,8,0,77,86,5,172,52,0,3837
Seabrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,24,0,14,0,0,0,0,3,0,6,0,0,3,0,0,0,0,0,0,0,0,5,0,0,3,0,17,6,0,0,13,0,5,0,0,4,94,0,5,0,0,14,0,11,0,0,0,0,0,0,3,15,0,16,7,0,332
Williamstown,0,6,0,0,4,0,0,0,0,0,0,5,48,76,0,16,10,4,20,12,4,6,13,21,16,67,377,36,0,9,0,5,32,56,230,73,462,12,41,24,28,18,26,0,14,18,13,269,257,9,6,70,554,19,58,12,8,5,22,49,14,22,4,7,4,3,0,23,0,0,6,47,17,48,0,30,134,4,394,73,0,110,74,0,69,34,158,7,425,27,85,19,351,282,93,109,0,15,27,69,3,0,202,170,5,279,74,0,6689
Braybrook,0,5,0,0,0,0,0,0,0,0,0,8,83,195,3,62,16,8,28,4,7,16,0,6,42,13,38,39,0,3,0,0,10,9,85,17,158,12,24,19,12,20,38,0,23,124,5,178,403,0,0,32,187,14,148,4,3,0,0,17,19,113,8,0,4,0,0,53,11,52,3,36,30,12,0,66,43,0,130,30,0,48,57,0,58,0,155,17,549,95,144,15,7,156,168,577,0,4,6,59,14,0,165,105,0,275,99,0,5525
Footscray,0,4,0,0,0,3,0,0,0,0,0,0,21,81,21,8,0,0,30,0,3,10,6,0,6,9,61,8,0,9,0,416,8,19,174,35,188,9,41,15,24,200,50,0,29,103,29,337,552,12,3,82,687,26,151,18,6,3,13,19,83,63,4,10,25,0,0,3,3,17,3,89,9,266,0,34,112,9,505,71,0,151,92,7,888,0,214,34,499,1475,189,52,2224,823,498,604,6,25,81,190,6,0,135,458,0,379,182,0,14082
Maribyrnong,0,6,0,0,0,0,0,0,0,0,0,0,12,25,5,23,0,0,4,0,16,14,4,0,19,5,15,13,0,0,0,0,0,7,66,0,112,7,5,59,3,21,90,0,74,6,11,271,2635,13,4,12,778,4,22,0,0,5,3,25,3,6,0,6,88,4,0,32,3,0,0,71,20,12,0,0,76,0,107,22,0,47,101,0,71,4,22,5,223,10,36,5,9,163,9,139,0,0,5,127,0,0,88,187,0,174,97,0,6355
Seddon - Kingsville,0,3,0,0,0,0,0,0,0,0,0,0,5,60,0,8,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,21,0,39,3,5,4,0,0,0,0,4,3,4,42,71,0,0,7,171,4,165,0,0,0,0,9,13,14,0,12,5,5,0,3,0,0,0,12,0,8,0,0,21,0,122,31,0,26,12,0,12,0,4,0,33,11,22,0,0,55,82,33,0,0,29,8,0,0,29,66,0,55,32,0,1430
West Footscray - Tottenham,0,30,0,4,0,4,3,0,0,0,0,0,80,425,4,20,35,52,3,7,55,173,24,9,29,10,118,34,0,0,0,0,16,20,51,13,124,34,71,23,42,64,82,7,19,102,6,142,182,20,0,8,114,55,544,7,18,0,3,18,139,256,0,0,8,0,0,6,3,0,3,5,0,0,0,13,13,0,200,9,0,65,79,0,101,5,25,0,69,22,32,0,18,58,14,62,5,3,29,29,0,0,139,49,3,344,94,0,4834
Yarraville,0,25,0,0,0,5,0,0,0,0,0,0,18,245,7,20,10,0,8,0,34,29,136,0,7,4,12,9,22,80,3,4,0,26,82,17,243,25,18,21,0,163,51,0,27,14,17,264,143,0,0,4,452,16,212,8,16,3,4,10,39,53,0,5,60,4,0,3,3,0,3,15,10,26,0,62,111,4,266,43,0,74,98,0,21,0,144,6,319,41,70,3,4,149,91,188,4,0,32,35,0,0,85,147,7,221,66,0,5033
Bacchus Marsh,8,164,0,3,0,44,5,15,0,13,63,4,29,106,0,4,13,0,6,3,0,5,30,11,14,12,17,13,0,0,0,11,28,18,90,38,361,0,31,7,7,9,8,0,6,10,23,392,183,6,0,22,381,20,224,13,0,0,0,35,0,9,0,0,0,0,0,9,0,0,0,38,7,4,0,7,56,0,225,22,0,47,63,0,154,0,72,22,591,12,87,14,295,179,61,192,0,9,4,42,3,0,103,107,3,146,75,0,5169
Hillside,0,12,0,0,0,4,0,0,0,0,10,0,4,5,9,0,0,0,5,0,3,0,5,0,0,0,0,4,0,0,0,0,0,9,59,5,196,0,3,4,0,0,0,0,3,5,0,12,37,5,6,4,58,8,61,0,0,0,0,18,9,0,0,0,0,0,0,6,0,0,3,3,3,14,0,0,10,0,64,18,0,23,51,0,3,0,15,3,214,0,53,0,4,62,0,126,0,0,0,9,0,0,13,42,0,45,17,0,1387
Melton,0,30,0,3,0,9,0,0,0,0,7,0,31,37,3,6,17,0,14,4,0,66,3,14,73,40,10,15,0,0,8,8,33,23,100,46,394,11,45,26,33,16,18,3,14,170,24,226,328,8,0,10,528,8,122,0,0,0,5,69,21,16,3,5,5,0,0,3,3,20,0,31,6,22,0,25,110,0,196,30,3,74,72,4,464,0,180,9,395,9,100,17,38,333,83,230,0,18,4,118,11,0,199,141,0,203,90,0,5961
Melton South,0,18,0,0,0,0,0,0,0,0,5,0,42,75,0,17,3,0,7,0,0,0,40,6,11,0,9,5,0,3,0,0,9,12,82,27,251,0,25,4,4,0,3,0,4,3,7,44,58,0,0,18,100,7,48,0,0,0,0,24,0,9,0,3,0,0,0,3,0,0,0,8,3,10,0,3,11,0,74,20,0,54,38,0,28,0,8,5,525,5,30,7,0,48,148,171,0,0,9,36,19,0,24,49,0,93,36,0,2492
Melton West,0,4,0,0,0,0,0,0,0,0,0,0,5,28,0,0,0,0,0,0,0,0,0,0,3,0,5,5,0,0,0,0,0,3,43,0,117,7,3,0,0,0,3,0,21,0,3,367,689,0,0,0,377,4,31,0,0,0,0,11,0,0,0,0,25,0,0,10,5,0,0,29,0,12,0,0,21,0,38,11,0,37,41,0,37,0,13,4,588,10,15,7,41,154,7,133,0,0,5,11,0,0,26,57,0,61,45,0,3191
Rockbank - Mount Cottrell,0,138,0,0,0,6,0,0,0,0,33,0,54,46,3,6,19,10,33,3,0,14,49,72,14,23,23,39,0,6,0,3,27,50,295,73,524,20,71,307,99,42,65,0,22,174,36,41,172,69,0,8,216,37,200,13,0,5,3,20,52,170,0,20,5,0,0,3,11,0,0,81,5,0,0,17,23,0,74,3,0,87,37,0,69,0,897,9,26,19,39,3,28,137,0,71,0,0,10,63,0,0,213,34,0,263,77,0,5740
Taylors Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,40,8,130,0,0,0,0,0,0,0,6,0,8,255,32,0,0,0,121,3,59,0,0,0,0,8,9,0,0,0,0,0,0,5,3,0,0,15,5,9,0,0,8,0,54,19,0,21,33,0,17,0,5,5,469,6,23,4,0,37,7,106,0,0,6,3,3,0,12,45,0,64,23,0,1717
Burnside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,17,0,3,3,0,0,5,0,4,0,0,92,51,0,0,0,51,0,19,0,0,0,0,4,3,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,10,0,0,3,18,0,0,0,3,0,7,0,4,0,0,11,83,49,0,0,0,6,0,0,5,18,0,13,10,0,544
Burnside Heights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,21,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,18,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,16,7,0,0,15,0,3,0,0,0,115,0,19,0,0,3,0,62,0,0,0,12,0,0,4,8,0,21,7,0,385
Caroline Springs,0,0,0,0,0,3,0,0,0,0,0,0,0,28,0,4,0,0,5,0,6,21,0,0,0,0,0,0,0,0,0,0,3,9,63,5,113,0,5,3,4,3,9,0,8,7,4,173,193,4,0,40,472,4,61,0,0,0,0,12,5,5,0,3,0,0,0,8,0,9,0,45,8,31,0,0,98,0,124,32,0,27,57,0,31,0,102,6,525,24,52,5,16,187,14,136,0,0,3,26,7,0,14,84,0,77,39,0,3078
Hoppers Crossing - North,0,40,0,0,0,0,0,0,0,0,0,0,60,64,5,220,48,7,6,0,3,18,24,53,36,21,25,42,0,3,0,0,4,54,175,51,598,18,111,48,41,20,55,0,54,476,26,329,815,3,0,6,407,24,339,0,0,0,3,126,31,79,0,8,0,0,0,0,5,0,0,9,5,26,0,37,14,0,123,23,0,34,74,3,121,0,34,22,430,18,76,8,0,134,13,242,0,9,4,28,8,0,370,112,0,309,126,0,7005
Hoppers Crossing - South,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,5,0,0,3,0,0,0,5,0,4,0,0,9,0,0,0,0,0,8,24,0,94,0,4,3,0,3,27,0,30,7,0,297,1237,6,0,4,528,4,39,0,0,0,0,29,3,8,0,0,41,6,0,15,0,9,0,60,3,9,0,0,40,0,76,21,0,38,55,0,86,0,8,6,612,21,69,7,29,313,6,315,0,0,0,144,9,0,38,128,0,90,74,0,4761
Laverton,5,122,0,0,4,27,0,0,0,10,7,0,246,1108,150,139,42,94,32,0,693,290,85,510,98,411,247,70,9,34,51,11,150,89,240,293,789,60,421,217,359,803,262,18,50,100,41,736,350,9,5,19,318,251,1849,18,111,10,10,149,250,1648,3,9,4,0,0,17,22,5,0,74,0,14,5,201,95,0,247,68,0,436,174,0,69,948,286,13,309,25,55,0,3,73,0,90,0,0,6,29,0,0,368,52,0,1186,293,0,19320
Tarneit,0,9,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,4,0,0,0,5,5,0,0,0,0,0,9,11,67,24,179,0,3,5,0,3,12,0,10,0,33,351,115,0,0,7,287,17,170,8,0,0,0,39,22,7,0,0,3,4,0,27,6,9,4,38,17,16,0,3,53,0,105,44,0,32,65,0,103,0,81,14,759,20,50,4,0,94,11,504,0,0,4,3,3,0,10,70,0,91,55,0,3758
Truganina,0,61,0,0,0,11,0,0,0,0,0,0,65,84,28,55,14,0,46,0,5,52,5,55,42,76,36,36,0,0,5,0,5,27,134,22,239,17,30,135,6,67,165,0,12,3,25,309,310,8,0,0,161,98,1085,7,5,0,3,30,175,848,0,3,0,0,0,9,0,0,3,10,4,7,0,38,12,0,66,28,0,173,93,0,28,0,512,21,632,27,25,8,28,61,14,324,0,0,3,0,0,0,18,36,0,295,124,0,7207
Werribee - South,7,365,19,0,0,12,0,0,0,0,0,0,18,66,21,3,9,0,13,0,25,10,31,13,21,14,8,14,0,5,0,26,0,22,111,44,287,5,36,10,0,40,29,0,23,28,12,323,279,3,0,87,553,18,103,4,0,0,0,22,9,18,0,4,9,0,0,24,9,6,3,92,13,39,0,21,237,0,482,27,0,212,74,0,917,0,189,45,643,323,165,28,1081,500,184,182,6,144,14,51,8,0,117,157,0,213,125,0,9128
Wyndham Vale,0,14,0,0,0,0,0,0,0,0,13,0,0,23,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,6,0,0,0,7,39,15,117,0,6,3,0,4,4,0,4,0,21,200,54,6,0,0,219,7,30,6,0,4,0,7,4,5,0,0,4,0,0,3,0,4,0,0,9,7,0,5,8,0,48,35,0,14,48,0,31,0,11,5,393,11,38,5,3,78,56,158,0,0,5,5,0,0,22,44,0,49,30,0,1960
Point Cook - East,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,6,59,8,103,11,3,3,0,9,13,0,3,0,0,19,40,0,0,53,44,7,20,0,0,5,0,6,7,0,0,0,0,4,0,9,0,0,0,12,0,21,0,0,25,0,70,34,0,25,29,0,22,41,13,5,58,15,25,0,0,25,3,133,0,11,3,19,0,0,5,33,0,61,11,0,1160
Point Cook - North,0,3,0,5,0,3,0,0,0,0,0,0,11,27,0,7,5,9,4,0,4,0,0,4,5,0,4,0,0,0,0,0,3,13,165,5,204,0,11,10,0,7,30,0,28,4,9,417,489,3,0,33,520,12,57,0,0,0,0,27,12,4,4,9,0,0,0,37,0,3,0,41,20,64,0,12,196,0,238,45,0,55,77,0,32,3,20,10,646,16,85,3,0,251,111,303,5,0,7,73,9,0,21,141,5,156,76,0,4959
Point Cook - South,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,3,32,6,68,3,7,4,0,7,4,0,8,0,0,99,37,0,0,11,64,0,22,0,0,0,0,13,0,4,0,0,5,0,0,3,6,0,0,4,3,16,0,0,29,0,67,41,0,10,31,0,21,5,5,6,143,10,35,4,0,30,0,131,0,0,4,8,0,0,7,42,0,47,17,0,1144
Werribee - East,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,9,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,33,0,115,0,11,6,0,4,6,0,3,11,0,85,45,3,0,0,148,6,43,13,0,0,0,15,3,0,0,0,0,0,0,5,0,0,0,0,6,15,0,0,28,0,76,12,0,36,52,0,16,0,31,5,474,8,71,3,10,170,206,190,0,9,0,31,0,0,27,46,0,55,30,0,2205
Werribee - West,0,42,0,0,0,8,0,0,0,0,11,0,0,9,0,0,0,0,0,0,0,0,5,0,3,0,4,4,0,0,0,54,3,8,66,16,89,0,10,4,4,0,0,0,0,3,11,9,16,0,0,3,18,8,21,7,0,0,0,9,0,0,0,0,4,0,0,10,0,0,0,0,0,7,0,5,3,3,23,19,0,11,26,0,35,0,0,3,155,8,9,4,3,9,7,135,0,3,4,22,0,0,20,26,0,34,12,0,1042
